股票代码,简称,1,2,3,4,5,6,7,8,9,10
600584,长电科技,"","","","","","","","","",""
600585,海螺水泥,"","","","","","","","","",""
600586,金晶科技,"","","","","","","","","",""
600587,新华医疗,"","","","","","","","","",""
600588,用友软件,"","","","","","","","","",""
600589,广东榕泰,"","","","","","","","","",""
600590,泰豪科技,"","","","","","","","","",""
600591,*ST上航,"","","","","","","","","",""
600592,龙溪股份,"","","","","","","","","",""
600593,大连圣亚,"","","","","","","","","",""
600594,益佰制药,"","","","","","","","","",""
600595,中孚实业,"","","","","","","","","",""
600596,新安股份,"","","","","","","","","",""
600597,光明乳业,"","","","","","","","","",""
600598,北大荒,"","","","","","","","","",""
600599,熊猫烟花,"","","","","","","","","",""
600600,青岛啤酒,"","","","","","","","","",""
600601,方正科技,"","","","","","","","","",""
600602,仪电电子,"","","","","","","","","",""
600603,*ST兴业,"","","","","","","","","",""
600604,市北高新,"","","","","","","","","",""
600605,汇通能源,"","","","","","","","","",""
600606,金丰投资,"","","","","","","","","",""
600607,上实医药,"","","","","","","","","",""
600608,上海科技,"","","","","","","","","",""
600609,金杯汽车,"","","","","","","","","",""
600610,S中纺机,"","","","","","","","","",""
600611,大众交通,"","","","","","","","","",""
600612,老凤祥,"","","","","","","","","",""
600613,神奇制药,"","","","","","","","","",""
600614,鼎立股份,"","","","","","","","","",""
600615,丰华股份,"","","","","","","","","",""
600616,金枫酒业,"","","","","","","","","",""
600617,*ST联华,"","","","","","","","","",""
600618,氯碱化工,"","","","","","","","","",""
600619,海立股份,"","","","","","","","","",""
600620,天宸股份,"","","","","","","","","",""
600621,华鑫股份,"","","","","","","","","",""
600622,嘉宝集团,"","","","","","","","","",""
600623,双钱股份,"","","","","","","","","",""
600624,复旦复华,"","","","","","","","","",""
600625,PT水仙,"","","","","","","","","",""
600626,申达股份,"","","","","","","","","",""
600627,上电股份,"","","","","","","","","",""
600628,新世界,"","","","","","","","","",""
600629,棱光实业,"","","","","","","","","",""
600630,龙头股份,"","","","","","","","","",""
600631,百联股份,"","","","","","","","","",""
600632,华联商厦,"","","","","","","","","",""
600633,浙报传媒,"","","","","","","","","",""
600634,ST澄海,"","","","","","","","","",""
600635,大众公用,"","","","","","","","","",""
600636,三爱富,"","","","","","","","","",""
600637,百视通,"","","","","","","","","",""
600638,新黄浦,"","","","","","","","","",""
600639,浦东金桥,"","","","","","","","","",""
600640,号百控股,"","","","","","","","","",""
600641,万业企业,"","","","","","","","","",""
600642,申能股份,"","","","","","","","","",""
600643,爱建股份,"","","","","","","","","",""
600644,乐山电力,"","","","","","","","","",""
600645,中源协和,"","","","","","","","","",""
600646,ST国嘉,"","","","","","","","","",""
600647,同达创业,"","","","","","","","","",""
600648,外高桥,"","","","","","","","","",""
600649,城投控股,"","","","","","","","","",""
600650,锦江投资,"","","","","","","","","",""
600651,飞乐音响,"","","","","","","","","",""
600652,爱使股份,"","","","","","","","","",""
600653,申华控股,"","","","","","","","","",""
600654,飞乐股份,"","","","","","","","","",""
600655,豫园商城,"","","","","","","","","",""
600656,博元投资,"","","","","","","","","",""
600657,信达地产,"","","","","","","","","",""
600658,电子城,"","","","","","","","","",""
600659,*ST花雕,"","","","","","","","","",""
600660,福耀玻璃,"","","","","","","","","",""
600661,新南洋,"","","","","","","","","",""
600662,强生控股,"","","","","","","","","",""
600663,陆家嘴,"","","","","","","","","",""
600664,哈药股份,"","","","","","","","","",""
600665,天地源,"","","","","","","","","",""
600666,西南药业,"","","","","","","","","",""
600667,太极实业,"","","","","","","","","",""
600668,尖峰集团,"","","","","","","","","",""
600669,*ST鞍成,"","","","","","","","","",""
600670,*ST斯达,"","","","","","","","","",""
600671,天目药业,"","","","","","","","","",""
600672,*ST华圣,"","","","","","","","","",""
600673,东阳光铝,"","","","","","","","","",""
600674,川投能源,"","","","","","","","","",""
600675,中华企业,"","","","","","","","","",""
600676,交运股份,"","","","","","","","","",""
600677,航天通信,"","","","","","","","","",""
600678,四川金顶,"","","","","","","","","",""
600679,金山开发,"","","","","","","","","",""
600680,上海普天,"","","","","","","","","",""
600681,万鸿集团,"","","","","","","","","",""
600682,南京新百,"","","","","","","","","",""
600683,京投银泰,"","","","","","","","","",""
600684,珠江实业,"","","","","","","","","",""
600685,广船国际,"","","","","","","","","",""
600686,金龙汽车,"","","","","","","","","",""
600687,刚泰控股,"","","","","","","","","",""
600688,上海石化,"","","","","","","","","",""
600689,上海三毛,"","","","","","","","","",""
600690,青岛海尔,"","","","","","","","","",""
600691,阳煤化工,"","","","","","","","","",""
600692,亚通股份,"","","","","","","","","",""
600693,东百集团,"","","","","","","","","",""
600694,大商股份,"","","","","","","","","",""
600695,大江股份,"","","","","","","","","",""
600696,多伦股份,"","","","","","","","","",""
600697,欧亚集团,"","","","","","","","","",""
600698,ST轻骑,"","","","","","","","","",""
600699,均胜电子,"","","","","","","","","",""
600700,*ST数码,"","","","","","","","","",""
600701,工大高新,"","","","","","","","","",""
600702,沱牌舍得,"","","","","","","","","",""
600703,三安光电,"","","","","","","","","",""
600704,物产中大,"","","","","","","","","",""
600705,中航投资,"","","","","","","","","",""
600706,曲江文旅,"","","","","","","","","",""
600707,*ST彩虹,"","","","","","","","","",""
600708,海博股份,"","","","","","","","","",""
600709,ST生态,"","","","","","","","","",""
600710,常林股份,"","","","","","","","","",""
600711,盛屯矿业,"","","","","","","","","",""
600712,南宁百货,"","","","","","","","","",""
600713,南京医药,"","","","","","","","","",""
600714,金瑞矿业,"","","","","","","","","",""
600715,松辽汽车,"","","","","","","","","",""
600716,凤凰股份,"","","","","","","","","",""
600717,天津港,"","","","","","","","","",""
600718,东软集团,"","","","","","","","","",""
600719,大连热电,"","","","","","","","","",""
600720,祁连山,"","","","","","","","","",""
600721,百花村,"","","","","","","","","",""
600722,金牛化工,"","","","","","","","","",""
600723,首商股份,"","","","","","","","","",""
600724,宁波富达,"","","","","","","","","",""
600725,云维股份,"","","","","","","","","",""
600726,华电能源,"","","","","","","","","",""
600727,鲁北化工,"","","","","","","","","",""
600728,佳都新太,"","","","","","","","","",""
600729,重庆百货,"","","","","","","","","",""
600730,中国高科,"","","","","","","","","",""
600731,湖南海利,"","","","","","","","","",""
600732,上海新梅,"","","","","","","","","",""
600733,S前锋,"","","","","","","","","",""
600734,实达集团,"","","","","","","","","",""
600735,新华锦,"","","","","","","","","",""
600736,苏州高新,"","","","","","","","","",""
600737,中粮屯河,"","","","","","","","","",""
600738,兰州民百,"","","","","","","","","",""
600739,辽宁成大,"","","","","","","","","",""
600740,山西焦化,"","","","","","","","","",""
600741,华域汽车,"","","","","","","","","",""
600742,一汽富维,"","","","","","","","","",""
600743,华远地产,"","","","","","","","","",""
600744,华银电力,"","","","","","","","","",""
600745,中茵股份,"","","","","","","","","",""
600746,江苏索普,"","","","","","","","","",""
600747,大连控股,"","","","","","","","","",""
600748,上实发展,"","","","","","","","","",""
600749,西藏旅游,"","","","","","","","","",""
600750,江中药业,"","","","","","","","","",""
600751,天津海运,"","","","","","","","","",""
600752,*ST哈慈,"","","","","","","","","",""
600753,东方银星,"","","","","","","","","",""
600754,锦江股份,"","","","","","","","","",""
600755,厦门国贸,"","","","","","","","","",""
600756,浪潮软件,"","","","","","","","","",""
600757,长江传媒,"","","","","","","","","",""
600758,红阳能源,"","","","","","","","","",""
600759,正和股份,"","","","","","","","","",""
600760,*ST黑豹,"","","","","","","","","",""
600761,安徽合力,"","","","","","","","","",""
600762,S*ST金荔,"","","","","","","","","",""
600763,通策医疗,"","","","","","","","","",""
600764,中电广通,"","","","","","","","","",""
600765,中航重机,"","","","","","","","","",""
600766,园城黄金,"","","","","","","","","",""
600767,运盛实业,"","","","","","","","","",""
600768,宁波富邦,"","","","","","","","","",""
600769,*ST祥龙,"","","","","","","","","",""
600770,综艺股份,"","","","","","","","","",""
600771,广誉远,"","","","","","","","","",""
600772,S*ST龙昌,"","","","","","","","","",""
600773,西藏城投,"","","","","","","","","",""
600774,汉商集团,"","","","","","","","","",""
600775,南京熊猫,"","","","","","","","","",""
600776,东方通信,"","","","","","","","","",""
600777,新潮实业,"","","","","","","","","",""
600778,友好集团,"","","","","","","","","",""
600779,水井坊,"","","","","","","","","",""
600780,通宝能源,"","","","","","","","","",""
600781,上海辅仁,"","","","","","","","","",""
600782,新钢股份,"","","","","","","","","",""
600783,鲁信创投,"","","","","","","","","",""
600784,鲁银投资,"","","","","","","","","",""
600785,新华百货,"","","","","","","","","",""
600786,东锅退市,"","","","","","","","","",""
600787,中储股份,"","","","","","","","","",""
600788,*ST达曼,"","","","","","","","","",""
600789,鲁抗医药,"","","","","","","","","",""
600790,轻纺城,"","","","","","","","","",""
600791,京能置业,"","","","","","","","","",""
600792,云煤能源,"","","","","","","","","",""
600793,ST宜纸,"","","","","","","","","",""
600794,保税科技,"","","","","","","","","",""
600795,国电电力,"","","","","","","","","",""
600796,钱江生化,"","","","","","","","","",""
600797,浙大网新,"","","","","","","","","",""
600798,宁波海运,"","","","","","","","","",""
600799,*ST龙科,"","","","","","","","","",""
600800,天津磁卡,"","","","","","","","","",""
600801,华新水泥,"","","","","","","","","",""
600802,福建水泥,"","","","","","","","","",""
600803,威远生化,"","","","","","","","","",""
600804,鹏博士,"","","","","","","","","",""
600805,悦达投资,"","","","","","","","","",""
600806,昆明机床,"","","","","","","","","",""
600807,天业股份,"","","","","","","","","",""
600808,马钢股份,"","","","","","","","","",""
600809,山西汾酒,"","","","","","","","","",""
600810,神马股份,"","","","","","","","","",""
600811,东方集团,"","","","","","","","","",""
600812,华北制药,"","","","","","","","","",""
600813,ST鞍一工,"","","","","","","","","",""
600814,杭州解百,"","","","","","","","","",""
600815,厦工股份,"","","","","","","","","",""
600816,安信信托,"","","","","","","","","",""
600817,ST宏盛,"","","","","","","","","",""
600818,中路股份,"","","","","","","","","",""
600819,耀皮玻璃,"","","","","","","","","",""
600820,隧道股份,"","","","","","","","","",""
600821,津劝业,"","","","","","","","","",""
600822,上海物贸,"","","","","","","","","",""
600823,世茂股份,"","","","","","","","","",""
600824,益民集团,"","","","","","","","","",""
600825,新华传媒,"","","","","","","","","",""
600826,兰生股份,"","","","","","","","","",""
600827,友谊股份,"","","","","","","","","",""
600828,成商集团,"","","","","","","","","",""
600829,三精制药,"","","","","","","","","",""
600830,香溢融通,"","","","","","","","","",""
600831,广电网络,"","","","","","","","","",""
600832,东方明珠,"","","","","","","","","",""
600833,第一医药,"","","","","","","","","",""
600834,申通地铁,"","","","","","","","","",""
600835,上海机电,"","","","","","","","","",""
600836,界龙实业,"","","","","","","","","",""
600837,海通证券,"","","","","","","","","",""
600838,上海九百,"","","","","","","","","",""
600839,四川长虹,"","","","","","","","","",""
600840,新湖创业,"","","","","","","","","",""
600841,上柴股份,"","","","","","","","","",""
600842,中西药业,"","","","","","","","","",""
600843,上工申贝,"","","","","","","","","",""
600844,丹化科技,"","","","","","","","","",""
600845,宝信软件,"","","","","","","","","",""
600846,同济科技,"","","","","","","","","",""
600847,万里股份,"","","","","","","","","",""
600848,自仪股份,"","","","","","","","","",""
600850,华东电脑,"","","","","","","","","",""
600851,海欣股份,"","","","","","","","","",""
600852,*ST中川,"","","","","","","","","",""
600853,龙建股份,"","","","","","","","","",""
600854,春兰股份,"","","","","","","","","",""
600855,航天长峰,"","","","","","","","","",""
600856,长百集团,"","","","","","","","","",""
600857,工大首创,"","","","","","","","","",""
600858,银座股份,"","","","","","","","","",""
600859,王府井,"","","","","","","","","",""
600860,北人股份,"","","","","","","","","",""
600861,北京城乡,"","","","","","","","","",""
600862,南通科技,"","","","","","","","","",""
600863,内蒙华电,"","","","","","","","","",""
600864,哈投股份,"","","","","","","","","",""
600865,百大集团,"","","","","","","","","",""
600866,星湖科技,"","","","","","","","","",""
600867,通化东宝,"","","","","","","","","",""
600868,梅雁吉祥,"","","","","","","","","",""
600869,远东电缆,"","","","","","","","","",""
600870,厦华电子,"","","","","","","","","",""
600871,仪征化纤,"","","","","","","","","",""
600872,中炬高新,"","","","","","","","","",""
600873,梅花集团,"","","","","","","","","",""
600874,创业环保,"","","","","","","","","",""
600875,东方电气,"","","","","","","","","",""
600876,洛阳玻璃,"","","","","","","","","",""
600877,中国嘉陵,"","","","","","","","","",""
600878,*ST北科,"","","","","","","","","",""
600879,航天电子,"","","","","","","","","",""
600880,博瑞传播,"","","","","","","","","",""
600881,亚泰集团,"","","","","","","","","",""
600882,华联矿业,"","","","","","","","","",""
600883,博闻科技,"","","","","","","","","",""
600884,杉杉股份,"","","","","","","","","",""
600885,宏发股份,"","","","","","","","","",""
600886,国投电力,"","","","","","","","","",""
600887,伊利股份,"","","","","","","","","",""
600888,新疆众和,"","","","","","","","","",""
600889,南京化纤,"","","","","","","","","",""
600890,中房股份,"","","","","","","","","",""
600891,秋林集团,"","","","","","","","","",""
600892,宝诚股份,"","","","","","","","","",""
600893,航空动力,"","","","","","","","","",""
600894,广日股份,"","","","","","","","","",""
600895,张江高科,"","","","","","","","","",""
600896,中海海盛,"","","","","","","","","",""
600897,厦门空港,"","","","","","","","","",""
600898,三联商社,"","","","","","","","","",""
600899,*ST信联,"","","","","","","","","",""
600900,长江电力,"","","","","","","","","",""
600960,渤海活塞,"","","","","","","","","",""
600961,*ST株冶,"","","","","","","","","",""
600962,国投中鲁,"","","","","","","","","",""
600963,岳阳林纸,"","","","","","","","","",""
600965,福成五丰,"","","","","","","","","",""
600966,博汇纸业,"","","","","","","","","",""
600967,北方创业,"","","","","","","","","",""
600969,郴电国际,"","","","","","","","","",""
600970,中材国际,"","","","","","","","","",""
600971,恒源煤电,"","","","","","","","","",""
600973,宝胜股份,"","","","","","","","","",""
600975,新五丰,"","","","","","","","","",""
600976,武汉健民,"","","","","","","","","",""
600978,宜华木业,"","","","","","","","","",""
600979,广安爱众,"","","","","","","","","",""
600980,*ST北磁,"","","","","","","","","",""
600981,汇鸿股份,"","","","","","","","","",""
600982,宁波热电,"","","","","","","","","",""
600983,合肥三洋,"","","","","","","","","",""
600984,建设机械,"","","","","","","","","",""
600985,雷鸣科化,"","","","","","","","","",""
600986,科达股份,"","","","","","","","","",""
600987,航民股份,"","","","","","","","","",""
600988,赤峰黄金,"","","","","","","","","",""
600990,四创电子,"","","","","","","","","",""
600991,广汽长丰,"","","","","","","","","",""
600992,贵绳股份,"","","","","","","","","",""
600993,马应龙,"","","","","","","","","",""
600995,文山电力,"","","","","","","","","",""
600997,开滦股份,"","","","","","","","","",""
600998,九州通,"","","","","","","","","",""
600999,招商证券,"","","","","","","","","",""
601000,唐山港,"","","","","","","","","",""
601001,大同煤业,"","","","","","","","","",""
601002,晋亿实业,"","","","","","","","","",""
601003,柳钢股份,"","","","","","","","","",""
601005,重庆钢铁,"","","","","","","","","",""
601006,大秦铁路,"","","","","","","","","",""
601007,金陵饭店,"","","","","","","","","",""
601008,连云港,"","","","","","","","","",""
601009,南京银行,"","","","","","","","","",""
601010,文峰股份,"","","","","","","","","",""
601011,宝泰隆,"","","","","","","","","",""
601012,隆基股份,"","","","","","","","","",""
601018,宁波港,"","","","","","","","","",""
601028,玉龙股份,"","","","","","","","","",""
601038,一拖股份,"","","","","","","","","",""
601058,赛轮股份,"","","","","","","","","",""
601088,中国神华,"","","","","","","","","",""
601098,中南传媒,"","","","","","","","","",""
601099,太平洋,"","","","","","","","","",""
601100,恒立油缸,"","","","","","","","","",""
601101,昊华能源,"","","","","","","","","",""
601106,中国一重,"","","","","","","","","",""
601107,四川成渝,"","","","","","","","","",""
601111,中国国航,"","","","","","","","","",""
601113,华鼎锦纶,"","","","","","","","","",""
601116,三江购物,"","","","","","","","","",""
601117,中国化学,"","","","","","","","","",""
601118,海南橡胶,"","","","","","","","","",""
601126,四方股份,"","","","","","","","","",""
601137,博威合金,"","","","","","","","","",""
601139,深圳燃气,"","","","","","","","","",""
601158,重庆水务,"","","","","","","","","",""
601166,兴业银行,"","","","","","","","","",""
601168,西部矿业,"","","","","","","","","",""
601169,北京银行,"","","","","","","","","",""
601177,杭齿前进,"","","","","","","","","",""
601179,中国西电,"","","","","","","","","",""
601186,中国铁建,"","","","","","","","","",""
601188,龙江交通,"","","","","","","","","",""
601199,江南水务,"","","","","","","","","",""
601208,东材科技,"","","","","","","","","",""
601216,内蒙君正,"","","","","","","","","",""
601218,吉鑫科技,"","","","","","","","","",""
601222,林洋电子,"","","","","","","","","",""
601231,环旭电子,"","","","","","","","","",""
601233,桐昆股份,"","","","","","","","","",""
601238,广汽集团,"","","","","","","","","",""
601258,庞大集团,"","","","","","","","","",""
601268,*ST二重,"","","","","","","","","",""
601288,农业银行,"","","","","","","","","",""
601299,中国北车,"","","","","","","","","",""
601311,骆驼股份,"","","","","","","","","",""
601313,江南嘉捷,"","","","","","","","","",""
601318,中国平安,"","","","","","","","","",""
601328,交通银行,"","","","","","","","","",""
601333,广深铁路,"","","","","","","","","",""
601336,新华保险,"","","","","","","","","",""
601339,百隆东方,"","","","","","","","","",""
601369,陕鼓动力,"","","","","","","","","",""
601377,兴业证券,"","","","","","","","","",""
601388,怡球资源,"","","","","","","","","",""
601390,中国中铁,"","","","","","","","","",""
601398,工商银行,"","","","","","","","","",""
601515,东风股份,"","","","","","","","","",""
601518,吉林高速,"","","","","","","","","",""
601519,大智慧,"","","","","","","","","",""
601555,东吴证券,"","","","","","","","","",""
601558,华锐风电,"","","","","","","","","",""
601566,九牧王,"","","","","","","","","",""
601567,三星电气,"","","","","","","","","",""
601588,北辰实业,"","","","","","","","","",""
601599,鹿港科技,"","","","","","","","","",""
601600,中国铝业,"","","","","","","","","",""
601601,中国太保,"","","","","","","","","",""
601607,上海医药,"","","","","","","","","",""
601608,中信重工,"","","","","","","","","",""
601616,广电电气,"","","","","","","","","",""
601618,中国中冶,"","","","","","","","","",""
601628,中国人寿,"","","","","","","","","",""
601633,长城汽车,"","","","","","","","","",""
601636,旗滨集团,"","","","","","","","","",""
601666,平煤股份,"","","","","","","","","",""
601668,中国建筑,"","","","","","","","","",""
601669,中国水电,"","","","","","","","","",""
601677,明泰铝业,"","","","","","","","","",""
601678,滨化股份,"","","","","","","","","",""
601688,华泰证券,"","","","","","","","","",""
601699,潞安环能,"","","","","","","","","",""
601700,风范股份,"","","","","","","","","",""
601717,郑煤机,"","","","","","","","","",""
601718,际华集团,"","","","","","","","","",""
601727,上海电气,"","","","","","","","","",""
601766,中国南车,"","","","","","","","","",""
601777,力帆股份,"","","","","","","","","",""
601788,光大证券,"","","","","","","","","",""
601789,宁波建工,"","","","","","","","","",""
601798,蓝科高新,"","","","","","","","","",""
601799,星宇股份,"","","","","","","","","",""
601800,中国交建,"","","","","","","","","",""
601801,皖新传媒,"","","","","","","","","",""
601808,中海油服,"","","","","","","","","",""
601818,光大银行,"","","","","","","","","",""
601857,中国石油,"","","","","","","","","",""
601866,中海集运,"","","","","","","","","",""
601872,招商轮船,"","","","","","","","","",""
601877,正泰电器,"","","","","","","","","",""
601880,大连港,"","","","","","","","","",""
601886,江河创建,"","","","","","","","","",""
601888,中国国旅,"","","","","","","","","",""
601890,亚星锚链,"","","","","","","","","",""
601898,中煤能源,"","","","","","","","","",""
601899,紫金矿业,"","","","","","","","","",""
601901,方正证券,"","","","","","","","","",""
601908,京运通,"","","","","","","","","",""
601918,国投新集,"","","","","","","","","",""
601919,*ST远洋,"","","","","","","","","",""
601928,凤凰传媒,"","","","","","","","","",""
601929,吉视传媒,"","","","","","","","","",""
601933,永辉超市,"","","","","","","","","",""
601939,建设银行,"","","","","","","","","",""
601958,金钼股份,"","","","","","","","","",""
601965,中国汽研,"","","","","","","","","",""
601988,中国银行,"","","","","","","","","",""
601989,中国重工,"","","","","","","","","",""
601991,大唐发电,"","","","","","","","","",""
601992,金隅股份,"","","","","","","","","",""
601996,丰林集团,"","","","","","","","","",""
601998,中信银行,"","","","","","","","","",""
601999,出版传媒,"","","","","","","","","",""
603000,人民网,"","","","","","","","","",""
603001,奥康国际,"","","","","","","","","",""
603002,宏昌电子,"","","","","","","","","",""
603003,龙宇燃油,"","","","","","","","","",""
603008,喜临门,"","","","","","","","","",""
603077,和邦股份,"","","","","","","","","",""
603123,翠微股份,"","","","","","","","","",""
603128,华贸物流,"","","","","","","","","",""
603167,渤海轮渡,"","","","","","","","","",""
603333,明星电缆,"","","","","","","","","",""
603366,日出东方,"","","","","","","","","",""
603399,新华龙,"","","","","","","","","",""
603766,隆鑫通用,"","","","","","","","","",""
603993,洛阳钼业,"","","","","","","","","",""
900929,锦旅B股,
900935,阳晨B股,
900939,汇丽B,
900948,伊泰B股,
900950,新城B股,
900951,大化B股,
900953,凯马B,
900956,东贝B股,
900957,凌云B股,
